TOP.6287f2bf.000e598e	START
TOP.62a21b68.0006f45b	user_options->hwmon_temp_abort	90
TOP.62a21b68.0006f45b	user_options->hash_mode	22000
TOP.62a21b68.0006f45b	user_options->hex_charset	0
TOP.62a21b68.0006f45b	user_options->hex_salt	0
TOP.62a21b68.0006f45b	user_options->hex_wordlist	0
TOP.62a21b68.0006f45b	user_options->hook_threads	4
TOP.62a21b68.0006f45b	user_options->identify	0
TOP.62a21b68.0006f45b	user_options->increment	0
TOP.62a21b68.0006f45b	user_options->increment_max	256
TOP.62a21b68.0006f45b	user_options->increment_min	1
TOP.62a21b68.0006f45b	user_options->keep_guessing	0
TOP.62a21b68.0006f45b	user_options->kernel_accel	0
TOP.62a21b68.0006f45b	user_options->kernel_loops	0
TOP.62a21b68.0006f45b	user_options->kernel_threads	0
TOP.62a21b68.0006f45b	user_options->keyspace	0
TOP.62a21b68.0006f45b	user_options->left	0
TOP.62a21b68.0006f45b	user_options->logfile_disable	0
TOP.62a21b68.0006f45b	user_options->loopback	0
TOP.62a21b68.0006f45b	user_options->machine_readable	0
TOP.62a21b68.0006f45b	user_options->markov_classic	0
TOP.62a21b68.0006f45b	user_options->markov_disable	0
TOP.62a21b68.0006f45b	user_options->markov_inverse	0
TOP.62a21b68.0006f45b	user_options->markov_threshold	256
TOP.62a21b68.0006f45b	user_options->multiply_accel_disable	0
TOP.62a21b68.0006f45b	user_options->backend_info	0
TOP.62a21b68.0006f45b	user_options->backend_vector_width	0
TOP.62a21b68.0006f45b	user_options->optimized_kernel_enable	0
TOP.62a21b68.0006f45b	user_options->outfile_autohex	1
TOP.62a21b68.0006f45b	user_options->outfile_check_timer	5
TOP.62a21b68.0006f45b	user_options->outfile_format	3
TOP.62a21b68.0006f45b	user_options->wordlist_autohex_disable	0
TOP.62a21b68.0006f45b	user_options->potfile_disable	0
TOP.62a21b68.0006f45b	user_options->progress_only	0
TOP.62a21b68.0006f45b	user_options->quiet	0
TOP.62a21b68.0006f45b	user_options->remove	0
TOP.62a21b68.0006f45b	user_options->remove_timer	60
TOP.62a21b68.0006f45b	user_options->restore	0
TOP.62a21b68.0006f45b	user_options->restore_disable	0
TOP.62a21b68.0006f45b	user_options->restore_timer	60
TOP.62a21b68.0006f45b	user_options->rp_files_cnt	0
TOP.62a21b68.0006f45b	user_options->rp_gen	0
TOP.62a21b68.0006f45b	user_options->rp_gen_func_max	4
TOP.62a21b68.0006f45b	user_options->rp_gen_func_min	1
TOP.62a21b68.0006f45b	user_options->rp_gen_seed	0
TOP.62a21b68.0006f45b	user_options->runtime	0
TOP.62a21b68.0006f45b	user_options->scrypt_tmto	0
TOP.62a21b68.0006f45b	user_options->segment_size	33554432
TOP.62a21b68.0006f45b	user_options->self_test_disable	0
TOP.62a21b68.0006f45b	user_options->slow_candidates	0
TOP.62a21b68.0006f45b	user_options->show	0
TOP.62a21b68.0006f45b	user_options->speed_only	0
TOP.62a21b68.0006f45b	user_options->spin_damp	0
TOP.62a21b68.0006f45b	user_options->status	0
TOP.62a21b68.0006f45b	user_options->status_json	0
TOP.62a21b68.0006f45b	user_options->status_timer	10
TOP.62a21b68.0006f45b	user_options->stdout_flag	0
TOP.62a21b68.0006f45b	user_options->usage	0
TOP.62a21b68.0006f45b	user_options->username	0
TOP.62a21b68.0006f45b	user_options->veracrypt_pim_start	485
TOP.62a21b68.0006f45b	user_options->veracrypt_pim_stop	485
TOP.62a21b68.0006f45b	user_options->version	0
TOP.62a21b68.0006f45b	user_options->workload_profile	2
TOP.62a21b68.0006f45b	user_options->brain_client	0
TOP.62a21b68.0006f45b	user_options->brain_client_features	2
TOP.62a21b68.0006f45b	user_options->brain_server	0
TOP.62a21b68.0006f45b	user_options->brain_server_timer	300
TOP.62a21b68.0006f45b	user_options->brain_port	6863
TOP.62a21b68.0006f45b	user_options->brain_session	0
TOP.62a21b68.0006f45b	hashes->hashfile	.\gpon.hc22000
TOP.62a21b68.0006f45b	hashes->hashlist_mode	5
TOP.62a21b68.0006f45b	hashes->hashlist_format	0
TOP.62a21b68.0006f45b	hashes->hashes_cnt	0
TOP.62a21b68.0006f45b	hashes->digests_cnt	1
TOP.62a21b68.0006f45b	hashes->digests_done	0
TOP.62a21b68.0006f45b	hashes->salts_cnt	1
TOP.62a21b68.0006f45b	hashes->salts_done	0
TOP.62a21b68.0006f45b	SUB.62a21b69.000643ca	START
TOP.62a21b68.0006f45b	SUB.62a21b69.000643ca	mask_ctx->mask	?d?d?d?d?d?d?d?d
TOP.62a21b68.0006f45b	SUB.62a21b69.000643ca	runtime_start	1654791017
TOP.62a21b68.0006f45b	SUB.62a21b69.000643ca	runtime_stop	1654792464
TOP.62a21b68.0006f45b	SUB.62a21b69.000643ca	status-after-work	5
TOP.62a21b68.0006f45b	SUB.62a21b69.000643ca	STOP
TOP.62a21b68.0006f45b	proc_start	1654791016
TOP.62a21b68.0006f45b	proc_stop	1654792466
TOP.62a21b68.0006f45b	STOP
TOP.62a22132.0001b519	START
TOP.62a22132.0001b519	folder_config->cwd	C:\Users\I3_7350k\Downloads\hashcat-6.2.5
TOP.62a22132.0001b519	folder_config->install_dir	.
TOP.62a22132.0001b519	folder_config->profile_dir	.
TOP.62a22132.0001b519	folder_config->session_dir	.
TOP.62a22132.0001b519	folder_config->shared_dir	.
TOP.62a22132.0001b519	user_options->encoding_from	utf-8
TOP.62a22132.0001b519	user_options->encoding_to	utf-8
TOP.62a22132.0001b519	user_options->rule_buf_l	:
TOP.62a22132.0001b519	user_options->rule_buf_r	:
TOP.62a22132.0001b519	user_options->session	hashcat
TOP.62a22132.0001b519	user_options->separator	:
TOP.62a22132.0001b519	user_options->limit	0
TOP.62a22132.0001b519	user_options->skip	0
TOP.62a22132.0001b519	user_options->attack_mode	3
TOP.62a22132.0001b519	user_options->benchmark	0
TOP.62a22132.0001b519	user_options->benchmark_all	0
TOP.62a22132.0001b519	user_options->bitmap_max	18
TOP.62a22132.0001b519	user_options->bitmap_min	16
TOP.62a22132.0001b519	user_options->debug_mode	0
TOP.62a22132.0001b519	user_options->hash_info	0
TOP.62a22132.0001b519	user_options->force	0
TOP.62a22132.0001b519	user_options->hwmon_disable	0
TOP.62a22132.0001b519	user_options->hwmon_temp_abort	90
TOP.62a22132.0001b519	user_options->hash_mode	22000
TOP.62a22132.0001b519	user_options->hex_charset	0
TOP.62a22132.0001b519	user_options->hex_salt	0
TOP.62a22132.0001b519	user_options->hex_wordlist	0
TOP.62a22132.0001b519	user_options->hook_threads	4
TOP.62a22132.0001b519	user_options->identify	0
TOP.62a22132.0001b519	user_options->increment	0
TOP.62a22132.0001b519	user_options->increment_max	256
TOP.62a22132.0001b519	user_options->increment_min	1
TOP.62a22132.0001b519	user_options->keep_guessing	0
TOP.62a22132.0001b519	user_options->kernel_accel	0
TOP.62a22132.0001b519	user_options->kernel_loops	0
TOP.62a22132.0001b519	user_options->kernel_threads	0
TOP.62a22132.0001b519	user_options->keyspace	0
TOP.62a22132.0001b519	user_options->left	0
TOP.62a22132.0001b519	user_options->logfile_disable	0
TOP.62a22132.0001b519	user_options->loopback	0
TOP.62a22132.0001b519	user_options->machine_readable	0
TOP.62a22132.0001b519	user_options->markov_classic	0
TOP.62a22132.0001b519	user_options->markov_disable	0
TOP.62a22132.0001b519	user_options->markov_inverse	0
TOP.62a22132.0001b519	user_options->markov_threshold	256
TOP.62a22132.0001b519	user_options->multiply_accel_disable	0
TOP.62a22132.0001b519	user_options->backend_info	0
TOP.62a22132.0001b519	user_options->backend_vector_width	0
TOP.62a22132.0001b519	user_options->optimized_kernel_enable	0
TOP.62a22132.0001b519	user_options->outfile_autohex	1
TOP.62a22132.0001b519	user_options->outfile_check_timer	5
TOP.62a22132.0001b519	user_options->outfile_format	3
TOP.62a22132.0001b519	user_options->wordlist_autohex_disable	0
TOP.62a22132.0001b519	user_options->potfile_disable	0
TOP.62a22132.0001b519	user_options->progress_only	0
TOP.62a22132.0001b519	user_options->quiet	0
TOP.62a22132.0001b519	user_options->remove	0
TOP.62a22132.0001b519	user_options->remove_timer	60
TOP.62a22132.0001b519	user_options->restore	0
TOP.62a22132.0001b519	user_options->restore_disable	0
TOP.62a22132.0001b519	user_options->restore_timer	60
TOP.62a22132.0001b519	user_options->rp_files_cnt	0
TOP.62a22132.0001b519	user_options->rp_gen	0
TOP.62a22132.0001b519	user_options->rp_gen_func_max	4
TOP.62a22132.0001b519	user_options->rp_gen_func_min	1
TOP.62a22132.0001b519	user_options->rp_gen_seed	0
TOP.62a22132.0001b519	user_options->runtime	0
TOP.62a22132.0001b519	user_options->scrypt_tmto	0
TOP.62a22132.0001b519	user_options->segment_size	33554432
TOP.62a22132.0001b519	user_options->self_test_disable	0
TOP.62a22132.0001b519	user_options->slow_candidates	0
TOP.62a22132.0001b519	user_options->show	0
TOP.62a22132.0001b519	user_options->speed_only	0
TOP.62a22132.0001b519	user_options->spin_damp	0
TOP.62a22132.0001b519	user_options->status	0
TOP.62a22132.0001b519	user_options->status_json	0
TOP.62a22132.0001b519	user_options->status_timer	10
TOP.62a22132.0001b519	user_options->stdout_flag	0
TOP.62a22132.0001b519	user_options->usage	0
TOP.62a22132.0001b519	user_options->username	0
TOP.62a22132.0001b519	user_options->veracrypt_pim_start	485
TOP.62a22132.0001b519	user_options->veracrypt_pim_stop	485
TOP.62a22132.0001b519	user_options->version	0
TOP.62a22132.0001b519	user_options->workload_profile	2
TOP.62a22132.0001b519	user_options->brain_client	0
TOP.62a22132.0001b519	user_options->brain_client_features	2
TOP.62a22132.0001b519	user_options->brain_server	0
TOP.62a22132.0001b519	user_options->brain_server_timer	300
TOP.62a22132.0001b519	user_options->brain_port	6863
TOP.62a22132.0001b519	user_options->brain_session	0
TOP.62a22132.0001b519	hashes->hashfile	.\gpon.hc22000
TOP.62a22132.0001b519	hashes->hashlist_mode	5
TOP.62a22132.0001b519	hashes->hashlist_format	0
TOP.62a22132.0001b519	hashes->hashes_cnt	0
TOP.62a22132.0001b519	hashes->digests_cnt	1
TOP.62a22132.0001b519	hashes->digests_done	0
TOP.62a22132.0001b519	hashes->salts_cnt	1
TOP.62a22132.0001b519	hashes->salts_done	0
TOP.62a22132.0001b519	SUB.62a22132.000bc028	START
TOP.62a22132.0001b519	SUB.62a22132.000bc028	mask_ctx->mask	?d?d?d?d?d?d?d?d?d?d
TOP.62a394a6.000bdc4a	START
TOP.62a394a6.000bdc4a	folder_config->cwd	C:\Users\I3_7350k\Downloads\hashcat-6.2.5
TOP.62a394a6.000bdc4a	folder_config->install_dir	.
TOP.62a394a6.000bdc4a	folder_config->profile_dir	.
TOP.62a394a6.000bdc4a	folder_config->session_dir	.
TOP.62a394a6.000bdc4a	folder_config->shared_dir	.
TOP.62a394a6.000bdc4a	user_options->encoding_from	utf-8
TOP.62a394a6.000bdc4a	user_options->encoding_to	utf-8
TOP.62a394a6.000bdc4a	user_options->rule_buf_l	:
TOP.62a394a6.000bdc4a	user_options->rule_buf_r	:
TOP.62a394a6.000bdc4a	user_options->session	hashcat
TOP.62a394a6.000bdc4a	user_options->separator	:
TOP.62a394a6.000bdc4a	user_options->limit	0
TOP.62a394a6.000bdc4a	user_options->skip	0
TOP.62a394a6.000bdc4a	user_options->attack_mode	3
TOP.62a394a6.000bdc4a	user_options->benchmark	0
TOP.62a394a6.000bdc4a	user_options->benchmark_all	0
TOP.62a394a6.000bdc4a	user_options->bitmap_max	18
TOP.62a394a6.000bdc4a	user_options->bitmap_min	16
TOP.62a394a6.000bdc4a	user_options->debug_mode	0
TOP.62a394a6.000bdc4a	user_options->hash_info	0
TOP.62a394a6.000bdc4a	user_options->force	0
TOP.62a394a6.000bdc4a	user_options->hwmon_disable	0
TOP.62a394a6.000bdc4a	user_options->hwmon_temp_abort	90
TOP.62a394a6.000bdc4a	user_options->hash_mode	22000
TOP.62a394a6.000bdc4a	user_options->hex_charset	0
TOP.62a394a6.000bdc4a	user_options->hex_salt	0
TOP.62a394a6.000bdc4a	user_options->hex_wordlist	0
TOP.62a394a6.000bdc4a	user_options->hook_threads	2
TOP.62a394a6.000bdc4a	user_options->identify	0
TOP.62a394a6.000bdc4a	user_options->increment	0
TOP.62a394a6.000bdc4a	user_options->increment_max	256
TOP.62a394a6.000bdc4a	user_options->increment_min	1
TOP.62a394a6.000bdc4a	user_options->keep_guessing	0
TOP.62a394a6.000bdc4a	user_options->kernel_accel	0
TOP.62a394a6.000bdc4a	user_options->kernel_loops	0
TOP.62a394a6.000bdc4a	user_options->kernel_threads	0
TOP.62a394a6.000bdc4a	user_options->keyspace	0
TOP.62a394a6.000bdc4a	user_options->left	0
TOP.62a394a6.000bdc4a	user_options->logfile_disable	0
TOP.62a394a6.000bdc4a	user_options->loopback	0
TOP.62a394a6.000bdc4a	user_options->machine_readable	0
TOP.62a394a6.000bdc4a	user_options->markov_classic	0
TOP.62a394a6.000bdc4a	user_options->markov_disable	0
TOP.62a394a6.000bdc4a	user_options->markov_inverse	0
TOP.62a394a6.000bdc4a	user_options->markov_threshold	256
TOP.62a394a6.000bdc4a	user_options->multiply_accel_disable	0
TOP.62a394a6.000bdc4a	user_options->backend_info	0
TOP.62a394a6.000bdc4a	user_options->backend_vector_width	0
TOP.62a394a6.000bdc4a	user_options->optimized_kernel_enable	0
TOP.62a394a6.000bdc4a	user_options->outfile_autohex	1
TOP.62a394a6.000bdc4a	user_options->outfile_check_timer	5
TOP.62a394a6.000bdc4a	user_options->outfile_format	3
TOP.62a394a6.000bdc4a	user_options->wordlist_autohex_disable	0
TOP.62a394a6.000bdc4a	user_options->potfile_disable	0
TOP.62a394a6.000bdc4a	user_options->progress_only	0
TOP.62a394a6.000bdc4a	user_options->quiet	0
TOP.62a394a6.000bdc4a	user_options->remove	0
TOP.62a394a6.000bdc4a	user_options->remove_timer	60
TOP.62a394a6.000bdc4a	user_options->restore	0
TOP.62a394a6.000bdc4a	user_options->restore_disable	0
TOP.62a394a6.000bdc4a	user_options->restore_timer	60
TOP.62a394a6.000bdc4a	user_options->rp_files_cnt	0
TOP.62a394a6.000bdc4a	user_options->rp_gen	0
TOP.62a394a6.000bdc4a	user_options->rp_gen_func_max	4
TOP.62a394a6.000bdc4a	user_options->rp_gen_func_min	1
TOP.62a394a6.000bdc4a	user_options->rp_gen_seed	0
TOP.62a394a6.000bdc4a	user_options->runtime	0
TOP.62a394a6.000bdc4a	user_options->scrypt_tmto	0
TOP.62a394a6.000bdc4a	user_options->segment_size	33554432
TOP.62a394a6.000bdc4a	user_options->self_test_disable	0
TOP.62a394a6.000bdc4a	user_options->slow_candidates	0
TOP.62a394a6.000bdc4a	user_options->show	0
TOP.62a394a6.000bdc4a	user_options->speed_only	0
TOP.62a394a6.000bdc4a	user_options->spin_damp	0
TOP.62a394a6.000bdc4a	user_options->status	0
TOP.62a394a6.000bdc4a	user_options->status_json	0
TOP.62a394a6.000bdc4a	user_options->status_timer	10
TOP.62a394a6.000bdc4a	user_options->stdout_flag	0
TOP.62a394a6.000bdc4a	user_options->usage	0
TOP.62a394a6.000bdc4a	user_options->username	0
TOP.62a394a6.000bdc4a	user_options->veracrypt_pim_start	485
TOP.62a394a6.000bdc4a	user_options->veracrypt_pim_stop	485
TOP.62a394a6.000bdc4a	user_options->version	0
TOP.62a394a6.000bdc4a	user_options->workload_profile	2
TOP.62a394a6.000bdc4a	user_options->brain_client	0
TOP.62a394a6.000bdc4a	user_options->brain_client_features	2
TOP.62a394a6.000bdc4a	user_options->brain_server	0
TOP.62a394a6.000bdc4a	user_options->brain_server_timer	300
TOP.62a394a6.000bdc4a	user_options->brain_port	6863
TOP.62a394a6.000bdc4a	user_options->brain_session	0
TOP.62a394a6.000bdc4a	proc_start	1654887590
TOP.62a394a6.000bdc4a	proc_stop	1654887590
TOP.62a394a6.000bdc4a	STOP
TOP.62a394c4.00092c86	START
TOP.62a394c4.00092c86	folder_config->cwd	C:\Users\I3_7350k\Downloads\hashcat-6.2.5
TOP.62a394c4.00092c86	folder_config->install_dir	.
TOP.62a394c4.00092c86	folder_config->profile_dir	.
TOP.62a394c4.00092c86	folder_config->session_dir	.
TOP.62a394c4.00092c86	folder_config->shared_dir	.
TOP.62a394c4.00092c86	user_options->encoding_from	utf-8
TOP.62a394c4.00092c86	user_options->encoding_to	utf-8
TOP.62a394c4.00092c86	user_options->rule_buf_l	:
TOP.62a394c4.00092c86	user_options->rule_buf_r	:
TOP.62a394c4.00092c86	user_options->session	hashcat
TOP.62a394c4.00092c86	user_options->separator	:
TOP.62a394c4.00092c86	user_options->limit	0
TOP.62a394c4.00092c86	user_options->skip	0
TOP.62a394c4.00092c86	user_options->attack_mode	3
TOP.62a394c4.00092c86	user_options->benchmark	0
TOP.62a394c4.00092c86	user_options->benchmark_all	0
TOP.62a394c4.00092c86	user_options->bitmap_max	18
TOP.62a394c4.00092c86	user_options->bitmap_min	16
TOP.62a394c4.00092c86	user_options->debug_mode	0
TOP.62a394c4.00092c86	user_options->hash_info	0
TOP.62a394c4.00092c86	user_options->force	0
TOP.62a394c4.00092c86	user_options->hwmon_disable	0
TOP.62a394c4.00092c86	user_options->hwmon_temp_abort	90
TOP.62a394c4.00092c86	user_options->hash_mode	22000
TOP.62a394c4.00092c86	user_options->hex_charset	0
TOP.62a394c4.00092c86	user_options->hex_salt	0
TOP.62a394c4.00092c86	user_options->hex_wordlist	0
TOP.62a394c4.00092c86	user_options->hook_threads	2
TOP.62a394c4.00092c86	user_options->identify	0
TOP.62a394c4.00092c86	user_options->increment	0
TOP.62a394c4.00092c86	user_options->increment_max	256
TOP.62a394c4.00092c86	user_options->increment_min	1
TOP.62a394c4.00092c86	user_options->keep_guessing	0
TOP.62a394c4.00092c86	user_options->kernel_accel	0
TOP.62a394c4.00092c86	user_options->kernel_loops	0
TOP.62a394c4.00092c86	user_options->kernel_threads	0
TOP.62a394c4.00092c86	user_options->keyspace	0
TOP.62a394c4.00092c86	user_options->left	0
TOP.62a394c4.00092c86	user_options->logfile_disable	0
TOP.62a394c4.00092c86	user_options->loopback	0
TOP.62a394c4.00092c86	user_options->machine_readable	0
TOP.62a394c4.00092c86	user_options->markov_classic	0
TOP.62a394c4.00092c86	user_options->markov_disable	0
TOP.62a394c4.00092c86	user_options->markov_inverse	0
TOP.62a394c4.00092c86	user_options->markov_threshold	256
TOP.62a394c4.00092c86	user_options->multiply_accel_disable	0
TOP.62a394c4.00092c86	user_options->backend_info	0
TOP.62a394c4.00092c86	user_options->backend_vector_width	0
TOP.62a394c4.00092c86	user_options->optimized_kernel_enable	0
TOP.62a394c4.00092c86	user_options->outfile_autohex	1
TOP.62a394c4.00092c86	user_options->outfile_check_timer	5
TOP.62a394c4.00092c86	user_options->outfile_format	3
TOP.62a394c4.00092c86	user_options->wordlist_autohex_disable	0
TOP.62a394c4.00092c86	user_options->potfile_disable	0
TOP.62a394c4.00092c86	user_options->progress_only	0
TOP.62a394c4.00092c86	user_options->quiet	0
TOP.62a394c4.00092c86	user_options->remove	0
TOP.62a394c4.00092c86	user_options->remove_timer	60
TOP.62a394c4.00092c86	user_options->restore	0
TOP.62a394c4.00092c86	user_options->restore_disable	0
TOP.62a394c4.00092c86	user_options->restore_timer	60
TOP.62a394c4.00092c86	user_options->rp_files_cnt	0
TOP.62a394c4.00092c86	user_options->rp_gen	0
TOP.62a394c4.00092c86	user_options->rp_gen_func_max	4
TOP.62a394c4.00092c86	user_options->rp_gen_func_min	1
TOP.62a394c4.00092c86	user_options->rp_gen_seed	0
TOP.62a394c4.00092c86	user_options->runtime	0
TOP.62a394c4.00092c86	user_options->scrypt_tmto	0
TOP.62a394c4.00092c86	user_options->segment_size	33554432
TOP.62a394c4.00092c86	user_options->self_test_disable	0
TOP.62a394c4.00092c86	user_options->slow_candidates	0
TOP.62a394c4.00092c86	user_options->show	0
TOP.62a394c4.00092c86	user_options->speed_only	0
TOP.62a394c4.00092c86	user_options->spin_damp	0
TOP.62a394c4.00092c86	user_options->status	0
TOP.62a394c4.00092c86	user_options->status_json	0
TOP.62a394c4.00092c86	user_options->status_timer	10
TOP.62a394c4.00092c86	user_options->stdout_flag	0
TOP.62a394c4.00092c86	user_options->usage	0
TOP.62a394c4.00092c86	user_options->username	0
TOP.62a394c4.00092c86	user_options->veracrypt_pim_start	485
TOP.62a394c4.00092c86	user_options->veracrypt_pim_stop	485
TOP.62a394c4.00092c86	user_options->version	0
TOP.62a394c4.00092c86	user_options->workload_profile	2
TOP.62a394c4.00092c86	user_options->brain_client	0
TOP.62a394c4.00092c86	user_options->brain_client_features	2
TOP.62a394c4.00092c86	user_options->brain_server	0
TOP.62a394c4.00092c86	user_options->brain_server_timer	300
TOP.62a394c4.00092c86	user_options->brain_port	6863
TOP.62a394c4.00092c86	user_options->brain_session	0
TOP.62a394c4.00092c86	hashes->hashfile	gpon.hc22000
TOP.62a394c4.00092c86	hashes->hashlist_mode	5
TOP.62a394c4.00092c86	hashes->hashlist_format	0
TOP.62a394c4.00092c86	hashes->hashes_cnt	0
TOP.62a394c4.00092c86	hashes->digests_cnt	1
TOP.62a394c4.00092c86	hashes->digests_done	0
TOP.62a394c4.00092c86	hashes->salts_cnt	1
TOP.62a394c4.00092c86	hashes->salts_done	0
TOP.62a394de.000bf699	START
TOP.62a394de.000bf699	folder_config->cwd	C:\Users\I3_7350k\Downloads\hashcat-6.2.5
TOP.62a394de.000bf699	folder_config->install_dir	.
TOP.62a394de.000bf699	folder_config->profile_dir	.
TOP.62a394de.000bf699	folder_config->session_dir	.
TOP.62a394de.000bf699	folder_config->shared_dir	.
TOP.62a394de.000bf699	user_options->encoding_from	utf-8
TOP.62a394de.000bf699	user_options->encoding_to	utf-8
TOP.62a394de.000bf699	user_options->rule_buf_l	:
TOP.62a394de.000bf699	user_options->rule_buf_r	:
TOP.62a394de.000bf699	user_options->session	hashcat
TOP.62a394de.000bf699	user_options->separator	:
TOP.62a394de.000bf699	user_options->limit	0
TOP.62a394de.000bf699	user_options->skip	0
TOP.62a394de.000bf699	user_options->attack_mode	3
TOP.62a394de.000bf699	user_options->benchmark	0
TOP.62a394de.000bf699	user_options->benchmark_all	0
TOP.62a394de.000bf699	user_options->bitmap_max	18
TOP.62a394de.000bf699	user_options->bitmap_min	16
TOP.62a394de.000bf699	user_options->debug_mode	0
TOP.62a394de.000bf699	user_options->hash_info	0
TOP.62a394de.000bf699	user_options->force	0
TOP.62a394de.000bf699	user_options->hwmon_disable	0
TOP.62a394de.000bf699	user_options->hwmon_temp_abort	90
TOP.62a394de.000bf699	user_options->hash_mode	22000
TOP.62a394de.000bf699	user_options->hex_charset	0
TOP.62a394de.000bf699	user_options->hex_salt	0
TOP.62a394de.000bf699	user_options->hex_wordlist	0
TOP.62a394de.000bf699	user_options->hook_threads	2
TOP.62a394de.000bf699	user_options->identify	0
TOP.62a394de.000bf699	user_options->increment	0
TOP.62a394de.000bf699	user_options->increment_max	256
TOP.62a394de.000bf699	user_options->increment_min	1
TOP.62a394de.000bf699	user_options->keep_guessing	0
TOP.62a394de.000bf699	user_options->kernel_accel	0
TOP.62a394de.000bf699	user_options->kernel_loops	0
TOP.62a394de.000bf699	user_options->kernel_threads	0
TOP.62a394de.000bf699	user_options->keyspace	0
TOP.62a394de.000bf699	user_options->left	0
TOP.62a394de.000bf699	user_options->logfile_disable	0
TOP.62a394de.000bf699	user_options->loopback	0
TOP.62a394de.000bf699	user_options->machine_readable	0
TOP.62a394de.000bf699	user_options->markov_classic	0
TOP.62a394de.000bf699	user_options->markov_disable	0
TOP.62a394de.000bf699	user_options->markov_inverse	0
TOP.62a394de.000bf699	user_options->markov_threshold	256
TOP.62a394de.000bf699	user_options->multiply_accel_disable	0
TOP.62a394de.000bf699	user_options->backend_info	0
TOP.62a394de.000bf699	user_options->backend_vector_width	0
TOP.62a394de.000bf699	user_options->optimized_kernel_enable	0
TOP.62a394de.000bf699	user_options->outfile_autohex	1
TOP.62a394de.000bf699	user_options->outfile_check_timer	5
TOP.62a394de.000bf699	user_options->outfile_format	3
TOP.62a394de.000bf699	user_options->wordlist_autohex_disable	0
TOP.62a394de.000bf699	user_options->potfile_disable	0
TOP.62a394de.000bf699	user_options->progress_only	0
TOP.62a394de.000bf699	user_options->quiet	0
TOP.62a394de.000bf699	user_options->remove	0
TOP.62a394de.000bf699	user_options->remove_timer	60
TOP.62a394de.000bf699	user_options->restore	0
TOP.62a394de.000bf699	user_options->restore_disable	0
TOP.62a394de.000bf699	user_options->restore_timer	60
TOP.62a394de.000bf699	user_options->rp_files_cnt	0
TOP.62a394de.000bf699	user_options->rp_gen	0
TOP.62a394de.000bf699	user_options->rp_gen_func_max	4
TOP.62a394de.000bf699	user_options->rp_gen_func_min	1
TOP.62a394de.000bf699	user_options->rp_gen_seed	0
TOP.62a394de.000bf699	user_options->runtime	0
TOP.62a394de.000bf699	user_options->scrypt_tmto	0
TOP.62a394de.000bf699	user_options->segment_size	33554432
TOP.62a394de.000bf699	user_options->self_test_disable	0
TOP.62a394de.000bf699	user_options->slow_candidates	0
TOP.62a394de.000bf699	user_options->show	0
TOP.62a394de.000bf699	user_options->speed_only	0
TOP.62a394de.000bf699	user_options->spin_damp	0
TOP.62a394de.000bf699	user_options->status	0
TOP.62a394de.000bf699	user_options->status_json	0
TOP.62a394de.000bf699	user_options->status_timer	10
TOP.62a394de.000bf699	user_options->stdout_flag	0
TOP.62a394de.000bf699	user_options->usage	0
TOP.62a394de.000bf699	user_options->username	0
TOP.62a394de.000bf699	user_options->veracrypt_pim_start	485
TOP.62a394de.000bf699	user_options->veracrypt_pim_stop	485
TOP.62a394de.000bf699	user_options->version	0
TOP.62a394de.000bf699	user_options->workload_profile	2
TOP.62a394de.000bf699	user_options->brain_client	0
TOP.62a394de.000bf699	user_options->brain_client_features	2
TOP.62a394de.000bf699	user_options->brain_server	0
TOP.62a394de.000bf699	user_options->brain_server_timer	300
TOP.62a394de.000bf699	user_options->brain_port	6863
TOP.62a394de.000bf699	user_options->brain_session	0
TOP.62a394de.000bf699	hashes->hashfile	gpon.hc22000
TOP.62a394de.000bf699	hashes->hashlist_mode	5
TOP.62a394de.000bf699	hashes->hashlist_format	0
TOP.62a394de.000bf699	hashes->hashes_cnt	0
TOP.62a394de.000bf699	hashes->digests_cnt	1
TOP.62a394de.000bf699	hashes->digests_done	0
TOP.62a394de.000bf699	hashes->salts_cnt	1
TOP.62a394de.000bf699	hashes->salts_done	0
TOP.62a394f0.0004474a	START
TOP.62a394f0.0004474a	folder_config->cwd	C:\Users\I3_7350k\Downloads\hashcat-6.2.5
TOP.62a394f0.0004474a	folder_config->install_dir	.
TOP.62a394f0.0004474a	folder_config->profile_dir	.
TOP.62a394f0.0004474a	folder_config->session_dir	.
TOP.62a394f0.0004474a	folder_config->shared_dir	.
TOP.62a394f0.0004474a	user_options->encoding_from	utf-8
TOP.62a394f0.0004474a	user_options->encoding_to	utf-8
TOP.62a394f0.0004474a	user_options->rule_buf_l	:
TOP.62a394f0.0004474a	user_options->rule_buf_r	:
TOP.62a394f0.0004474a	user_options->session	hashcat
TOP.62a394f0.0004474a	user_options->separator	:
TOP.62a394f0.0004474a	user_options->limit	0
TOP.62a394f0.0004474a	user_options->skip	0
TOP.62a394f0.0004474a	user_options->attack_mode	3
TOP.62a394f0.0004474a	user_options->benchmark	0
TOP.62a394f0.0004474a	user_options->benchmark_all	0
TOP.62a394f0.0004474a	user_options->bitmap_max	18
TOP.62a394f0.0004474a	user_options->bitmap_min	16
TOP.62a394f0.0004474a	user_options->debug_mode	0
TOP.62a394f0.0004474a	user_options->hash_info	0
TOP.62a394f0.0004474a	user_options->force	0
TOP.62a394f0.0004474a	user_options->hwmon_disable	0
TOP.62a394f0.0004474a	user_options->hwmon_temp_abort	90
